"Date","Price","Open","High","Low","Vol.","Change %"
"30-09-2024","2,659.40","2,680.50","2,687.70","2,646.20","173.25K","-0.33%"
"27-09-2024","2,668.10","2,695.10","2,696.90","2,665.30","196.73K","-0.55%"
"26-09-2024","2,682.90","2,668.70","2,695.60","2,666.10","0.97K","0.37%"
"25-09-2024","2,673.00","2,671.20","2,681.70","2,662.70","0.78K","0.29%"
"24-09-2024","2,665.20","2,639.10","2,675.80","2,637.30","0.50K","0.92%"
"23-09-2024","2,640.90","2,633.60","2,647.90","2,627.70","0.47K","0.24%"
"20-09-2024","2,634.60","2,601.90","2,639.10","2,601.80","0.50K","1.22%"
"19-09-2024","2,602.90","2,570.00","2,605.80","2,566.40","0.20K","0.61%"
"18-09-2024","2,587.00","2,589.40","2,615.50","2,563.50","0.47K","0.24%"
"17-09-2024","2,580.80","2,598.20","2,602.00","2,577.40","0.12K","-0.64%"
"16-09-2024","2,597.30","2,598.00","2,604.70","2,593.50","0.07K","-0.07%"
"13-09-2024","2,599.10","2,574.90","2,601.30","2,574.70","0.51K","1.17%"
"12-09-2024","2,569.10","2,531.50","2,576.60","2,531.20","0.28K","1.51%"
"11-09-2024","2,530.90","2,537.10","2,540.60","2,521.30","0.08K","-0.03%"
"10-09-2024","2,531.60","2,524.00","2,534.80","2,518.30","0.10K","0.41%"
"09-09-2024","2,521.30","2,515.00","2,524.80","2,507.60","0.05K","0.32%"
"06-09-2024","2,513.20","2,533.20","2,541.70","2,511.00","0.06K","-0.73%"
"05-09-2024","2,531.60","2,513.90","2,541.30","2,513.00","0.14K","0.68%"
"04-09-2024","2,514.40","2,511.90","2,518.00","2,495.70","0.05K","0.12%"
"03-09-2024","2,511.40","2,513.80","2,525.80","2,496.30","0.05K","-0.18%"
"30-08-2024","2,516.00","2,542.20","2,542.20","2,534.20","0.01K","-1.24%"
"29-08-2024","2,547.70","2,539.20","2,562.20","2,536.50","159.97K","1.33%"
"28-08-2024","2,514.30","2,536.70","2,540.70","2,504.80","8.49K","-0.59%"
"27-08-2024","2,529.30","2,530.50","2,537.70","2,515.40","7.27K","-0.08%"
"26-08-2024","2,531.40","2,522.10","2,538.90","2,520.70","6.08K","0.35%"
"23-08-2024","2,522.60","2,497.20","2,530.40","2,497.00","6.90K","1.17%"
"22-08-2024","2,493.50","2,525.30","2,528.00","2,483.20","7.69K","-1.21%"
"21-08-2024","2,524.10","2,528.90","2,534.00","2,505.60","5.72K","-0.13%"
"20-08-2024","2,527.40","2,519.10","2,546.80","2,511.70","10.60K","0.37%"
"19-08-2024","2,518.10","2,526.10","2,526.40","2,500.90","8.05K","0.14%"
"16-08-2024","2,514.50","2,471.50","2,524.60","2,465.80","12.01K","1.83%"
"15-08-2024","2,469.40","2,463.00","2,484.40","2,446.50","9.30K","0.50%"
"14-08-2024","2,457.10","2,483.30","2,496.60","2,454.00","7.64K","-1.12%"
"13-08-2024","2,484.90","2,488.60","2,494.00","2,475.10","8.32K","0.17%"
"12-08-2024","2,480.80","2,447.50","2,490.00","2,439.80","9.80K","1.24%"
"09-08-2024","2,450.40","2,443.40","2,453.40","2,433.90","6.57K","0.39%"
"08-08-2024","2,440.80","2,398.60","2,445.00","2,398.10","7.24K","1.27%"
"07-08-2024","2,410.30","2,408.50","2,425.10","2,397.00","6.13K","0.04%"
"06-08-2024","2,409.30","2,430.90","2,437.20","2,399.60","8.78K","-0.55%"
"05-08-2024","2,422.60","2,467.70","2,478.00","2,382.80","18.80K","-1.01%"
"02-08-2024","2,447.30","2,467.60","2,498.90","2,430.80","16.79K","-0.40%"
"01-08-2024","2,457.10","2,469.60","2,482.60","2,450.30","13.82K","0.32%"
"31-07-2024","2,449.30","2,432.40","2,472.60","2,425.70","12.47K","0.86%"
"30-07-2024","2,428.40","2,404.10","2,434.50","2,398.30","22.17K","1.58%"
"29-07-2024","2,390.70","2,398.80","2,412.00","2,380.30","3.08K","-0.13%"
"26-07-2024","2,393.70","2,376.30","2,401.80","2,370.90","0.90K","1.17%"
"25-07-2024","2,366.10","2,410.50","2,411.80","2,364.90","1.17K","-2.58%"
"24-07-2024","2,428.70","2,422.60","2,445.00","2,410.30","0.73K","0.35%"
"23-07-2024","2,420.20","2,411.00","2,423.30","2,402.50","1.60K","0.52%"
"22-07-2024","2,407.70","2,416.30","2,426.00","2,399.30","0.45K","-0.19%"
"19-07-2024","2,412.20","2,460.50","2,460.50","2,409.00","0.68K","-2.33%"
"18-07-2024","2,469.80","2,476.30","2,491.30","2,459.90","0.72K","-0.14%"
"17-07-2024","2,473.20","2,485.80","2,500.50","2,469.20","0.58K","-0.31%"
"16-07-2024","2,481.00","2,440.40","2,486.50","2,438.90","0.44K","1.59%"
"15-07-2024","2,442.10","2,433.00","2,453.90","2,420.00","0.31K","0.34%"
"12-07-2024","2,433.80","2,432.60","2,435.10","2,411.00","0.12K","-0.05%"
"11-07-2024","2,434.90","2,390.20","2,443.20","2,390.00","0.22K","1.77%"
"10-07-2024","2,392.50","2,382.90","2,405.70","2,382.80","0.12K","0.50%"
"09-07-2024","2,380.50","2,379.10","2,387.90","2,371.80","0.08K","0.18%"
"08-07-2024","2,376.20","2,411.20","2,411.20","2,372.40","0.10K","-1.41%"
"05-07-2024","2,410.20","2,379.00","2,413.00","2,375.20","0.05K","1.93%"
"04-07-2024","2,364.60","2,367.20","2,371.05","2,359.35","","-0.73%"
"03-07-2024","2,381.90","2,350.70","2,385.50","2,350.10","0.07K","1.55%"
"02-07-2024","2,345.60","2,344.40","2,348.20","2,344.40","0.02K","-0.22%"
"01-07-2024","2,350.80","2,355.20","2,356.00","2,347.80","0.14K","0.00%"
"28-06-2024","2,350.90","2,356.50","2,357.00","2,347.30","0.01K","0.09%"
"27-06-2024","2,348.70","2,331.80","2,364.30","2,330.00","3.55K","1.53%"
"26-06-2024","2,313.20","2,331.80","2,335.80","2,304.70","191.63K","-0.76%"
"25-06-2024","2,330.80","2,346.80","2,349.70","2,327.10","144.27K","-0.58%"
"24-06-2024","2,344.40","2,333.50","2,347.50","2,329.50","117.63K","0.57%"
"21-06-2024","2,331.20","2,373.80","2,382.60","2,329.20","194.82K","-1.60%"
"20-06-2024","2,369.00","2,344.20","2,379.50","2,338.50","252.69K","1.11%"
"19-06-2024","2,343.00","2,342.95","2,349.65","2,338.60","","-0.17%"
"18-06-2024","2,346.90","2,333.70","2,348.20","2,320.20","154.25K","0.77%"
"17-06-2024","2,329.00","2,348.50","2,348.70","2,324.30","122.70K","-0.86%"
"14-06-2024","2,349.10","2,319.60","2,352.30","2,316.70","163.37K","1.34%"
"13-06-2024","2,318.00","2,340.90","2,342.40","2,310.90","182.66K","-1.56%"
"12-06-2024","2,354.80","2,334.00","2,358.80","2,327.20","241.67K","1.21%"
"11-06-2024","2,326.60","2,329.50","2,337.30","2,314.50","145.50K","-0.02%"
"10-06-2024","2,327.00","2,311.00","2,331.30","2,304.50","142.89K","0.09%"
"07-06-2024","2,325.00","2,395.70","2,406.70","2,304.20","314.55K","-2.76%"
"06-06-2024","2,390.90","2,375.30","2,397.80","2,372.20","172.20K","0.65%"
"05-06-2024","2,375.50","2,347.10","2,377.60","2,345.30","171.86K","1.20%"
"04-06-2024","2,347.40","2,371.30","2,373.10","2,335.10","171.55K","-0.92%"
"03-06-2024","2,369.30","2,348.00","2,375.50","2,334.80","173.15K","1.00%"
"31-05-2024","2,345.80","2,364.50","2,381.20","2,341.10","183.41K","-0.87%"
"30-05-2024","2,366.50","2,361.00","2,373.70","2,343.30","188.89K","0.62%"
"29-05-2024","2,352.00","2,372.90","2,373.50","2,346.00","2.83K","-0.65%"
"28-05-2024","2,367.30","2,348.70","2,375.20","2,347.70","1.49K","0.46%"
"27-05-2024","2,356.50","2,338.00","2,365.50","2,333.80","105.47K","0.47%"
"24-05-2024","2,345.40","2,341.50","2,357.10","2,339.10","0.69K","-0.12%"
"23-05-2024","2,348.20","2,393.20","2,395.30","2,340.00","1.14K","-2.31%"
"22-05-2024","2,403.70","2,436.30","2,440.00","2,392.10","0.71K","-1.36%"
"21-05-2024","2,436.90","2,442.30","2,448.40","2,420.20","0.54K","-0.51%"
"20-05-2024","2,449.50","2,438.60","2,464.50","2,425.60","0.70K","0.86%"
"17-05-2024","2,428.60","2,392.80","2,433.60","2,389.20","0.27K","1.34%"
"16-05-2024","2,396.40","2,401.00","2,413.10","2,387.00","0.36K","-0.39%"
"15-05-2024","2,405.80","2,372.20","2,406.30","2,370.90","0.35K","1.48%"
"14-05-2024","2,370.60","2,354.60","2,375.70","2,352.30","0.16K","0.71%"
"13-05-2024","2,353.80","2,379.80","2,380.60","2,349.50","0.15K","-1.33%"
"10-05-2024","2,385.60","2,363.10","2,390.80","2,363.10","0.24K","1.48%"
"09-05-2024","2,350.90","2,331.80","2,361.00","2,330.50","0.05K","0.78%"
"08-05-2024","2,332.80","2,335.40","2,336.50","2,323.20","0.13K","-0.09%"
"07-05-2024","2,334.80","2,344.80","2,346.10","2,329.40","0.11K","-0.29%"
"06-05-2024","2,341.60","2,326.10","2,348.30","2,326.10","0.07K","0.97%"
"03-05-2024","2,319.10","2,323.70","2,338.90","2,298.10","0.06K","-0.04%"
"02-05-2024","2,320.00","2,340.90","2,341.70","2,307.70","0.27K","-0.06%"
"01-05-2024","2,321.50","2,308.80","2,349.90","2,303.50","0.32K","0.35%"
"30-04-2024","2,313.40","2,335.20","2,335.20","2,307.00","0.16K","-2.39%"
